Step 1,Step 2,Step 3,User Name,title,Bin Category,Quarter-Year,Week Number,Week Start Date,Week End Date,Count,capstone_name
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,PA020877,ABC District Manager,Power User,2022Q3,Week 3,2022-07-15,2022-07-21,12,Peter Alvarez
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,WF022066,Business Manager - All Products,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,12,William Ferrell
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,PA020877,ABC District Manager,Power User,2022Q3,Week 3,2022-07-15,2022-07-21,11,Peter Alvarez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2022Q3,Week 6,2022-08-05,2022-08-11,11,Gregory Poole
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,WF022066,Business Manager - All Products,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,11,William Ferrell
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q4,Week 6,2023-11-05,2023-11-11,10,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2024Q1,Week 11,2024-03-11,2024-03-17,9,Gregory Poole
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,LT022003,ABC District Manager,Power User,2023Q3,Week 12,2023-09-16,2023-09-22,9,Lisa Thornton
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,JP029277,ABC District Manager,Power User,2023Q3,Week 6,2023-08-05,2023-08-11,9,Joseph Page
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,EG069675,Director Steep Slope Roofing,Power User,2024Q2,Week 4,2024-04-22,2024-04-28,9,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2022Q3,Week 6,2022-08-05,2022-08-11,9,Gregory Poole
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q4,Week 6,2023-11-05,2023-11-11,9,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,AW018002,Enterprise Analytics Manager,Power User,2023Q2,Week 10,2023-06-03,2023-06-09,9,Aaron Wade
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,KB002230,Business Manager - All Products,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,8,Kevin Bass
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2022Q2,Week 11,2022-06-10,2022-06-16,8,Gregory Poole
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,SS009246,ABC District Manager,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,8,Steven Spencer
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,PJ035906,Regional Business Manager,Power User,2024Q2,Week 6,2024-05-06,2024-05-12,8,Patricia Jackson
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2024Q2,Week 4,2024-04-22,2024-04-28,8,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,PJ035906,Regional Business Manager,Power User,2024Q2,Week 6,2024-05-06,2024-05-12,8,Patricia Jackson
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,JP029277,ABC District Manager,Power User,2023Q3,Week 6,2023-08-05,2023-08-11,8,Joseph Page
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,SS009246,ABC District Manager,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,8,Steven Spencer
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,BV059710,Merchandising Manager - Siding,Power User,2023Q3,Week 4,2023-07-22,2023-07-28,8,Brian Vincent
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,GP069024,Director Enterprise Planning & Analysis,Power User,2024Q1,Week 11,2024-03-11,2024-03-17,8,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2022Q2,Week 11,2022-06-10,2022-06-16,8,Gregory Poole
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,BV059710,Merchandising Manager - Siding,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,8,Brian Vincent
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,KB002230,Business Manager - All Products,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,8,Kevin Bass
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,LT022003,ABC District Manager,Power User,2023Q3,Week 12,2023-09-16,2023-09-22,8,Lisa Thornton
/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2023Q1,Week 1,2023-01-01,2023-01-07,8,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,AW018002,Enterprise Analytics Manager,Power User,2023Q2,Week 10,2023-06-03,2023-06-09,8,Aaron Wade
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,SS009246,ABC District Manager,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,7,Steven Spencer
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2024Q2,Week 6,2024-05-06,2024-05-12,7,Michael Cordova
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,CG002698,ABC District Manager,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,7,Curtis Greer
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2022Q2,Week 7,2022-05-13,2022-05-19,7,Christopher Grant
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG002698,ABC District Manager,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,7,Curtis Greer
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2022Q3,Week 12,2022-09-16,2022-09-22,7,Michael Cordova
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2022Q3,Week 12,2022-09-16,2022-09-22,7,Michael Cordova
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,MC014643,Controller,Power User,2022Q3,Week 12,2022-09-16,2022-09-22,7,Michael Cordova
/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,KB002230,Business Manager - All Products,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,7,Kevin Bass
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,KH021302,Enterprise Analytics Analyst,Power User,2022Q3,Week 10,2022-09-02,2022-09-08,7,Katherine Howard
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Supplier Mix,KB002230,Business Manager - All Products,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,7,Kevin Bass
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,BT010858,ABC District Manager,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,7,Brittney Thomas
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Regional Analytics/Northeast Region/Branch Share/All NE Branches/Square Sales by Customer - Asphalt Shingles,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2022Q3,Week 12,2022-09-16,2022-09-22,7,Michael Cordova
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,WF022066,Business Manager - All Products,Power User,2024Q2,Week 7,2024-05-13,2024-05-19,7,William Ferrell
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GW060425,NSC IT Senior BI Engineer,Power User,2024Q4,Week 12,2024-12-17,2024-12-23,7,George White
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,KH021302,Enterprise Analytics Analyst,Power User,2022Q4,Week 9,2022-11-26,2022-12-02,7,Katherine Howard
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,7,Brian Vincent
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,/shared/Enterprise Analytics/_portal/Supplier Mix,KB002230,Business Manager - All Products,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,6,Kevin Bass
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,BT010858,ABC District Manager,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,6,Brittney Thomas
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2022Q2,Week 12,2022-06-17,2022-06-23,6,Christopher Grant
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,CL085848,Business Analyst,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,6,Christine Lyons
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2022Q2,Week 10,2022-06-03,2022-06-09,6,Christopher Grant
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,AJ020884,ABC District Manager,Power User,2023Q2,Week 3,2023-04-15,2023-04-21,6,Anthony Jacobs
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,LT022003,ABC District Manager,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,6,Lisa Thornton
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,KH021302,Enterprise Analytics Analyst,Power User,2022Q3,Week 10,2022-09-02,2022-09-08,6,Katherine Howard
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JH060804,ABC Branch Manager,Power User,2023Q1,Week 13,2023-03-26,2023-04-01,6,James Hammond
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,WF022066,Business Manager - All Products,Power User,2024Q2,Week 7,2024-05-13,2024-05-19,6,William Ferrell
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,JH060804,ABC Branch Manager,Power User,2023Q2,Week 1,2023-04-01,2023-04-07,6,James Hammond
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,MC014643,Controller,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,6,Michael Cordova
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG057266,ABC Branch Manager,Power User,2022Q2,Week 10,2022-06-03,2022-06-09,6,Christopher Grant
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,JB077854,Director of Research,Power User,2023Q3,Week 2,2023-07-08,2023-07-14,6,Jeffrey Butler
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 4,2023-10-22,2023-10-28,6,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,RM035735,ABC Branch Manager,Power User,2023Q3,Week 4,2023-07-22,2023-07-28,6,Randy Mckee
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,MC014643,Controller,Power User,2023Q3,Week 7,2023-08-12,2023-08-18,6,Michael Cordova
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2023Q3,Week 6,2023-08-05,2023-08-11,6,Christopher Grant
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,GW060425,NSC IT Senior BI Engineer,Power User,2024Q4,Week 12,2024-12-17,2024-12-23,6,George White
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2023Q4,Week 4,2023-10-22,2023-10-28,6,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CL085848,Business Analyst,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,6,Christine Lyons
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,BV059710,Merchandising Manager - Siding,Power User,2023Q3,Week 3,2023-07-15,2023-07-21,6,Brian Vincent
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,MS021706,Vice President SW Region,Power User,2024Q2,Week 3,2024-04-15,2024-04-21,6,Melissa Singh
/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales & Mix Adjusted Net Net GP,AJ020884,ABC District Manager,Power User,2023Q2,Week 3,2023-04-15,2023-04-21,6,Anthony Jacobs
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,JP029277,ABC District Manager,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,6,Joseph Page
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,EF021153,Administrative Assistant,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,6,Eric Fernandez
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,DW011315,ABC District Manager,Power User,2022Q4,Week 9,2022-11-26,2022-12-02,6,Daniel Washington
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,KH021302,Enterprise Analytics Analyst,Power User,2022Q4,Week 1,2022-10-01,2022-10-07,6,Katherine Howard
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,AM026049,ABC District Manager,Power User,2024Q1,Week 12,2024-03-18,2024-03-24,6,Allison Miles
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,KH021302,Enterprise Analytics Analyst,Power User,2022Q3,Week 5,2022-07-29,2022-08-04,6,Katherine Howard
/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Baker Roofing/Baker Roofing Report,/shared/Enterprise Analytics/Agents/Customer/Customer Direct Reports/Commercial Solutions/Commercial Solutions Monthly Report,KH021302,Enterprise Analytics Analyst,Power User,2022Q4,Week 9,2022-11-26,2022-12-02,6,Katherine Howard
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Inventory Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,CM080257,Controller,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,6,Cynthia Mckenzie
/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,BV059710,Merchandising Manager - Siding,Power User,2023Q3,Week 4,2023-07-22,2023-07-28,6,Brian Vincent
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Sales and GP,MC014643,Controller,Power User,2023Q2,Week 6,2023-05-06,2023-05-12,6,Michael Cordova
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,CG057266,ABC Branch Manager,Power User,2022Q2,Week 9,2022-05-27,2022-06-02,6,Christopher Grant
/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Supplier Analytics,/shared/Enterprise Analytics/_portal/Supplier Mix,EG069675,Director Steep Slope Roofing,Power User,2023Q1,Week 1,2023-01-01,2023-01-07,6,Eugene Gutierrez
/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,CG057266,ABC Branch Manager,Power User,2022Q2,Week 7,2022-05-13,2022-05-19,6,Christopher Grant
/shared/Enterprise Analytics/_portal/Net Net Sales & GP,/shared/Enterprise Analytics/_portal/Net Net Average Recovery,/shared/Enterprise Analytics/_portal/Net Net Sales & GP,PA020877,ABC District Manager,Power User,2024Q1,Week 10,2024-03-04,2024-03-10,6,Peter Alvarez
/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,/shared/Enterprise Analytics/_portal/Supplier Mix,/shared/Enterprise Analytics/_portal/Quarterly Regional Briefing,KB002230,Business Manager - All Products,Power User,2023Q4,Week 3,2023-10-15,2023-10-21,6,Kevin Bass
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Pricing Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,GP069024,Director Enterprise Planning & Analysis,Power User,2023Q3,Week 11,2023-09-09,2023-09-15,6,Gregory Poole
/shared/Enterprise Analytics/_portal/Sales and GP,/shared/Enterprise Analytics/_portal/Manufacturer and Supplier Analytics,/shared/Enterprise Analytics/_portal/Sales and GP,EF021153,Administrative Assistant,Power User,2024Q4,Week 3,2024-10-15,2024-10-21,6,Eric Fernandez
